0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/DIPTYQUE/P-W-D-TD-75.jpg HTTP/1.1" 200 67136
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/DIPTYQUE/P-W-D-V-75.jpg HTTP/1.1" 200 68221
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:11 +0900] "GET /Ascent/productDetail.do?productCode=P-C-B-PA-100 HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:11 +0900] "GET /Ascent/headers.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:11 +0900] "GET /assets/dist/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:13 +0900] "GET /Ascent/pPList.do HTTP/1.1" 200 46466
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:13 +0900] "GET /assets/dist/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:13 +0900] "GET /Ascent/headers.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:23:13 +0900] "GET /Ascent/css/productlist.css HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:33:57 +0900] "GET /Ascent/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:01 +0900] "GET /Ascent/main.do HTTP/1.1" 200 16763
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:01 +0900] "GET /assets/dist/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:01 +0900] "GET /Ascent/headers.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:03 +0900] "GET /Ascent/pPList.do HTTP/1.1" 200 46487
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:03 +0900] "GET /assets/dist/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:03 +0900] "GET /Ascent/headers.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:03 +0900] "GET /Ascent/css/productlist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:34:05 +0900] "GET /Ascent/productDetail.do?productCode=P-C-B-PA-100 HTTP/1.1" 500 2927
